,id,skills,edu_1,edu_2,edu_3,org_1,org_2,org_3,org_4,organization_title_1,label
0,gaurabdutta8,Python Programming Language SQL Git Linux HTML Machine Learning Data Analysis Photography C Programming Language Microsoft Office Teamwork C ObjectOriented Programming OOP MongoDB Microsoft Excel Deep Learning Data Structures Algorithms Team Leadership Natural Language Processing NLP Predictive Modeling Tableau Time Series Analysis Statistical Data Analysis Statistical Modeling Computer Vision Artificial Intelligence AI Microsoft Power BI Regression Analysis Time Management Shell Scripting Amazon Web Services AWS Neural Networks Digital Electronics Flask Text Analytics Verilog VHDL Jira FieldProgrammable Gate Arrays FPGA Embedded Software Heroku Jenkins Hypothesis Testing Data Classification Cluster Analysis Personal Development NAND Flash    ,"Bachelor of Technology (B.Tech.), Electronics and Communications Engineering Dibrugarh University",Science Kendriya Vidyalaya, ,Senior Data Analyst Tiger Analytics,Data science & AI Trainee Learnbay | Data Science and AI Training,Software Developer Invendis Technologies India Pvt. Ltd.,Embedded Systems & VLSI trainee Cranes Varsity,Senior Data Analyst,1
1,ramandeep-kaur-978037106,SQL Machine Learning Data Analysis Leadership Deep Learning Python Natural Language Processing NLP Data Visualization Data Science Tableau Statistical Data Analysis Management TensorFlow Keras Big Data Web Scraping ScikitLearn Neural Networks NLTK Image Analysis MS excel cTAKES SNOMEDCT                             ,"PGP, Data Science and Optimization International School of Engineering (INSOFE)","Bachelor of Technology - BTech, Computer Science Chandigarh Engg College, Landran", ,Data Analyst Accenture AI,Senior Associate Data Scientist Sutherland,Associate Data Scientist  Sutherland,Data Scientist Brontobyte Analytics,Data Analyst,1
2,milosmilunovic,Java C Python Programming Language SQL Git Machine Learning Software Development Problem Solving C Programming Language Leadership C ObjectOriented Programming OOP Microsoft Excel Deep Learning Python Data Structures Algorithms Team Leadership Natural Language Processing NLP Data Science ElasticSearch Artificial Neural Networks Image Processing OpenCV Computer Vision Artificial Intelligence AI Analytical Skills Research TensorFlow PyTorch Keras Creative Problem Solving Pandas Software ScikitLearn JSON Microsoft Azure Machine Learning Convolutional Neural Networks CNN Natural Language Understanding Recurrent Neural Networks RNN Genetic Algorithms Elastic Stack ELK Intelligent Systems          ,"Master's degree, Computational Finance Računarski fakultet","Master of Science - MS, Computer Science Računarski fakultet","Bachelor's degree, Computer Science Računarski fakultet",Data and Applied Scientist Microsoft,Machine Learning Intern Microsoft,Research And Teaching Assistant Računarski fakultet,Teaching Assistant Računarski fakultet,Data and Applied Scientist,1
3,ireneup,Java JavaScript Python Programming Language Git Data Analysis Software Development Scala Data Science Django Android iOS Kotlin Swift                                       ,"Master's degree, Computer Science EPFL (École polytechnique fédérale de Lausanne)","Bachelor's degree, Computer Science EPFL (École polytechnique fédérale de Lausanne)", ,Python and Data Analysis Instructor Graduate Institute of International and Development Studies,ML & Sofware Engineer AdNovum,Creator and developer SailingAdmin.ch,Software Engineer Intern AdNovum,Python and Data Analysis Instructor,1
4,jayani-edirisinghe-1b313aa8,C Data Analysis C Programming Language Microsoft Office C Project Management Team Leadership Matlab Management Team Management Strategic Planning Business Strategy Microsoft Azure Machine Learning New Business Development Business Development Marketing Strategy Azure ML Azure AI Azure                                 ,"BEng(Hons) Electronic Engineering, Engineering SLIIT", Visakha Vidyalaya," Musaeus College ,Colombo 7",Data Analyst Engineer Mobitel (Pvt) Ltd,Data Analyst Engineer Sprint Labs (Pvt) Ltd,Associater Engineer- Data Analytics MillenniumIT ESP,Engineer Lanka Bell,Data Analyst Engineer,1
5,kunalwaval,Java JavaScript Python Programming Language PHP MySQL Cascading Style Sheets CSS SQL Web Development HTML Microsoft Word Machine Learning Data Analysis C Programming Language Microsoft Office C Project Management Microsoft Excel Microsoft PowerPoint Deep Learning Natural Language Processing NLP Statistics Data Visualization Data Science Data Analytics Predictive Modeling R Tableau Time Series Analysis Microsoft Power BI Microsoft SQL Server Business Analysis Machine Learning Algorithms Forecasting Extract Transform Load ETL Data Modeling Pandas Software ScikitLearn Applied Machine Learning Oracle Database Database Design Google Analytics Web Analytics Digital Marketing Search Engine Optimization SEO Sentiment Analysis Customer Relationship Management CRM Excel Modeling   ,"HSC, Computer Science Sardar Vallabhbhai Patel College","11th, Electronics Parle Tilak Vidyalaya Associations Sathaye College Dixit Road Vile Parle East Mumbai 400 057","SSC, Science St. Francis D'assisi Of High School",Data Analyst Goldman Sachs,Data Analyst Draxo Infotech, , ,Data Analyst,1
6,brunolajoie,JavaScript SQL Machine Learning Data Analysis Project Management Python Data Visualization Data Science Renewable Energy Business Development Ruby Smart Grid Energy Electricity Climate Change Energy Policy Upstream Hydrogen Carbon Capture Cleantech Carbon Footprinting Electricity Markets                              ,"Engineer Diploma (Master of Science, MSc), General Engineering CentraleSupélec",FullStack Web Developer Le Wagon,"BSc equivalent, Fundamental science (Mathematics, physics, chemistry) Lycée Saint  Louis","Head of Curriculum, Data Le Wagon",Co-Founder & Director electricityMap,Lead-author for Energy Transition Institute (think-tank) Accenture,Strategy Consultant Schlumberger Business Consulting (SBC),"Head of Curriculum, Data",1
7,engomaradel,Java Python Programming Language PHP SQL Web Development Laravel Git Machine Learning Software Development English C ObjectOriented Programming OOP MongoDB BackEnd Web Development Python Data Structures Github Data Science Big Data FullStack Development AJAX Arabic power bi ModelViewController MVC                            ,"Bachelor's degree, Computer Engineering Ain Shams University", , ,Data analytics Mentor CareerFoundry,Data Scientist NCGR - National Center for Government Resources Sys.,Data science / ML Engineer EJADA,"Data Scientist Ministry of Finance, Saudi Arabia",Data analytics Mentor,1
8,rohan-srivastava-itc117,Python Programming Language Machine Learning Problem Solving English C Programming Language Leadership C Programming Languages Data Science Data Analytics Artificial Intelligence AI Engineering Communication MATLAB Presentations Pattern Recognition                                    ,"Bachelor of Science - BS, Electrical and Electronics Engineering Purdue University", , ,Data Analytics Trainee VLink Inc,Intern @ IBM IBM,Telecoms Intern airtel, ,Data Analytics Trainee,1
9,subodani-rodrigo,Python Programming Language MySQL SQL Microsoft Word Machine Learning Microsoft Office Teamwork Leadership Public Speaking Project Management Microsoft Excel Microsoft PowerPoint Customer Service Data Mining Data Science R Computer Vision Research Management Microsoft Power BI java programming                               ,"Statistic with computer science special degree, Physical Science University of Colombo, Faculty of Science"," De Mazenod College,Kandana"," Holy cross college,Gampaha,Sri Lanka",Data Analyst Platform One,AI/ML Developer Averyx Group,Associate Consultant Altria Consulting (Pvt) Ltd,Internship- Data Engineer  & Data Scientist Zkewed An Analytics Company,Data Analyst,1
