,id,skills,edu_1,edu_2,edu_3,org_1,org_2,org_3,org_4,organization_title_1,label
0,pavatharanan-thavananthan-5788b354,MySQL SQL Linux HTML Data Analysis Programming Microsoft Office Public Speaking C Microsoft Excel Customer Service Expressjs Python Statistics PowerPoint R Matlab Minitab SPSS Analytical Skills Research Analysis Microsoft Power BI Extract Transform Load ETL Shell Scripting SAS Visual Studio Photoshop Kubernetes Visual Basic NET VBNET Social Media PostgreSQL Automation Visual Basic for Applications VBA Selenium Django REST Framework Amazon QuickSight Okta Single SignOn Kafka Streams R tool Macro Selenium WebDriver CDC       ,"PGDip, Applied Statistics University of Colombo","Bachelor’s Degree, Mathematics and Statistics University of Jaffna"," Katheresan Central College , Nawalapitiya",Senior Data Engineer KALERIS,Software Engineer Ceylon Biscuits Limited,Software Engineering Specialist Wabtec Corporation,Data Operations Engineer  Wabtec Corporation,Senior Data Engineer,1
1,amila-akalanka-ariyasena,Java Python Programming Language PHP MySQL Cascading Style Sheets CSS SQL HTML Microsoft Word Data Engineering Data Analysis Microsoft Azure Microsoft Office Adobe Photoshop Teamwork Leadership Microsoft Excel Microsoft PowerPoint Adobe Illustrator Tableau Statistical Data Analysis Analytical Skills Management Microsoft Power BI Microsoft SQL Server R Programming Language Business Intelligence BI Data Modeling PostgreSQL SQL Server Integration Services SSIS SQL Server Analysis Services SSAS AutoCAD Geographic Information Systems GIS                    ,"Bachelor of Science - B.Sc(General), Statistics and Computer Science University of Sri Jayewardenepura", Rahula College,"Master's degree, Business Analytics Robert Gordon University",Associate Data Engineer ISM APAC,Associate Data Engineer Sana Commerce,Senior Executive - Analytics and Reporting - Channel Planning and Control Dialog Axiata PLC,Intern - Segment Analyst - Segment Analytics and Engagement  Dialog Axiata PLC,Associate Data Engineer,1
2,poorni-wickramarathne-b11b17159,Java MySQL SQL Machine Learning Data Analysis Microsoft Azure Teamwork Leadership Microsoft Excel Microsoft PowerPoint Python Team Leadership Data Visualization Data Science Hadoop Tableau Microsoft Power BI Microsoft SQL Server Machine Learning Algorithms DevOps Cloud Computing Extract Transform Load ETL Amazon Web Services AWS Relational Databases Apache Kafka Database Development ETL Tools Data Warehousing Communication NoSQL SQL Server Reporting Services SSRS Azure Data Factory Azure Data Lake Oracle Database RDBMS Weka Database Design Accountability Regression Models SQL Server Integration Services SSIS tableau Big data Excel Pivot Informatica PowerCenter Data Warehouse Architecture Talend Open Studio    ,"BSc special honors in Information Technology , Data science SLIIT",Diploma in Psychology Java Institute for Advanced Technology,Bio Sciences Anula Vidyalaya,BI Data Engineer Dialog Axiata PLC,Engineer - Technology Virtusa,Intern - System development and Data Analytics Sri Lanka Telecom, ,BI Data Engineer,1
3,mertbozkir,Machine Learning Deep Learning Data Science Research Communication DAGsHub                                              ,"Sophomore Bachelor's Degree, Computer Engineering Bursa Teknik Üniversitesi", , ,Data Engineering Intern dataLobster,Machine Learning Engineering Intern B2Metric : AI for Marketing Teams, , ,Data Engineering Intern,1
4,mohammed-ajmal-p-k-b6b511189,Python Programming Language HTML Machine Learning Data Analysis C Programming Language Data Science pandas sklearn                                            ,"Bachelor of Technology - BTech, Information Technology Government Engineering College Idukki - India", , ,Data Engineer stackgenie, , , ,Data Engineer,1
5,cambn,Java SQL Machine Learning Data Analysis Python Data Visualization R Apache Spark c                                           ,"Bachelor's degree, Math of Computation, Statistics minor University of California, Los Angeles","Master of Science - MS, Analytics University of Chicago", ,Data Engineer Peking University HSBC Business School,ML Engineer DataRes at UCLA,Research Assistant for Mathematical Data Science UCLA Mathematics,Data Journalist Daily Bruin,Data Engineer,1
6,isuru-vindula-362624140,Java JavaScript Python Programming Language PHP AngularJS HTML Data Engineering Data Analysis Problem Solving C Programming Language Microsoft Office Teamwork Leadership Public Speaking C Computer Science Reactjs Microsoft Excel Firebase Hadoop Tableau Presentation Skills Microsoft Power BI Oracle SQL Developer Data Modeling Amazon Web Services AWS Apache Kafka NoSQL RESTful architecture Docker PostgreSQL Pandas PLSQL PhpMyAdmin Robot Operating System ROS DAX Apache NiFi Interpersonal Skills Arduino IDE Cloud Firestore javascript Tableau Online Employee Engagement Thought Leadership Gazebos Punctuation Learn New Software Quickly Lifelong Learning    ,Mathematics Nalanda College Colombo,"Business Administration, Management and Operations Wisdom Business Academy","Certificate Level, Computer Science NIBM Institute",Associate Data Engineer Axiata Digital Labs,Data Analyst Dialog Axiata PLC,Member IEEE Computer Society Student Branch Chapter of UCSC, ,Associate Data Engineer,1
7,divakar-ingilala-04070a1a3,Machine Learning Deep Learning Data Science Hadoop Hive Artificial Intelligence AI PySpark                                             ,"Master of Computer Applications - MCA, Computer Science KMM Institute of P.G. Studies, Ramireddi Palle, Tirupati","Bachelor of Science - BS, Computer Science Jawahar Bharati Degree & PG College, Kavali", ,GCP Data Engineer Ford Motor Company,Data Scientist Cognizant,Senior Software Engineer HCL Technologies,Software Engineer Plintron,GCP Data Engineer,1
8,prabhu-sarathy-b59b28145,Java C Python Programming Language MySQL Git HTML Docker Products Shell Scripting Spring Framework Virtualization Tornado                                         ,"Bachelor of Engineering - BE, Computer Science Sri Krishna College of Engineering and Technology","School, Computer Science Sri Sarada Balamandir", ,Data Engineer Zoho Corporation,Software Developer Intern Zoho Corporation,Graduate Student Sri Krishna College of Engineering and Technology, ,Data Engineer,1
9,gihan-danansuriya,Java MySQL SQL HTML Microsoft Word Microsoft Office Leadership Microsoft Excel Python Team Leadership PowerPoint Hive R Artificial Neural Networks Time Series Analysis Management Windows ML CEP                                 ,"Bachelor of Applied Science (BASc) ""ICT"", Information Technology Rajarata University of Sri Lanka", , ,Data Engineer PickMe (Digital Mobility Solutions Lanka (PVT) Ltd),Associate Data Engineer  PickMe (Digital Mobility Solutions Lanka (PVT) Ltd), , ,Data Engineer,1
