,id,skills,edu_1,edu_2,edu_3,org_1,org_2,org_3,org_4,organization_title_1,label
0,supun-weerakoon,Python Programming Language SQL Git Big Data Analytics Machine Learning Data Analysis Programming Teamwork Data Mining Artificial Neural Networks Tableau Artificial Intelligence AI Research Microsoft Power BI TensorFlow Big Data Amazon Web Services AWS Software Engineering Convolutional Neural Networks CNN Flask Recurrent Neural Networks RNN Reinforcement Learning PostgreSQL GitHub Test Automation Testing Cloud Applications Heroku                        ,"Master's degree, Computer Science University of Peradeniya","Bachelor's degree, Electrical and Electronics Engineering University of Moratuwa",GCE Ordinary Level & GCE Advanced Level Dharmaraja College - Kandy,Data Scientist DSP Controls,Electrical Engineer Ceylon Electricity Board (CEB),Electrical Engineering Consultant Central Engineering Consultancy Bureau, ,Data Scientist,1
1,chamathabeysinghe,Java C JavaScript PHP MySQL Cascading Style Sheets CSS Laravel Linux HTML Machine Learning Software Development Microsoft Office CSS Teamwork C Reactjs Python Algorithms Team Leadership Hadoop Computer Vision NetBeans TensorFlow Keras Distributed Systems Artificial Intelligence C OOP jQuery Visual Studio ScikitLearn Photoshop Natural Language Processing Pandas CUDA Reduxjs                ,"Bachelor of Science (B.Sc.) Honours, Computer Science and Engineering University of Moratuwa",Physical Science Stream Royal College Colombo, ,Data Scientist Consultant PrimeSens,Lecturer University of Moratuwa,Software Engineering Intern WSO2, ,Data Scientist Consultant,1
2,nadeesha-e-a6027447,Big Data Analytics Project Management Python Data Science Hadoop Business Analysis Business Strategy Engineering Telecommunications Business Intelligence PLSQL Data mining and Statistical analysis Customer Value Management Campaign support Data Science Analytics Conduct Knowledge sharing sessions on Data Science and its applications                                     ,Master of Business Administration - MBA University of Colombo,"ACMA,GCMA The Chartered Institute of Management Accountants",Master of Business Administration - MBA University of Colombo,Senior Data Scientist OCTAVE - John Keells Group,Lead Data Scientist eBuilder,"Unit Manager - Business Intelligence Analytics, Group Corporate Planning and Strategy Dialog Axiata PLC","Assistant Manager - Business Intelligence Analytics, Group Corporate Planning and Strategy Dialog Axiata PLC",Senior Data Scientist,1
3,puneet-samnani,Python Programming Language SQL Machine Learning Data Analysis Software Development Microsoft Azure Teamwork Leadership Public Speaking Project Management Deep Learning Team Leadership Natural Language Processing NLP Statistics Data Visualization Data Science Hive Tableau Artificial Intelligence AI Analytical Skills Anaconda Management Team Management Mathematics Business Analysis Apache Spark TensorFlow Strategic Planning AWS SageMaker MLOps Natural Language Processing Jupyter AWS Lambda Python Plotly Strategic Leadership Motivational Speaking Youth Development Mentoring Team Organisation Team Mentoring Team Coordination Azure Developer AWS Comprehend        ,"Master of Technology - MTech, Computer Science Lovely Professional University","Bachelor of Technology (B.Tech.), Computer Science Lovely Professional University", ,Associate Data Scientist Commonwealth Bank,Senior Associate - Data Scientist Cognizant,Associate - Data Scientist Cognizant, ,Associate Data Scientist,1
4,tharindu-harith-withana-97243b175,JavaScript Python Programming Language Machine Learning C Programming Language Programming C Data Structures Data Science Tableau KNearest Neighbors KNN Image Processing TensorFlow C Visual Studio Core Java Recurrent Neural Networks RNN Oracle Database Spring MVC Database Management System DBMS SQL Server Management Studio                                ,"BTech - Bachelor of Technology, Computer Science National Institute of Technology Durgapur", D. S. Senanayake College, ,Data Scientist EngenuityAi,ML Engineer Omdena,Jr Data Scientist LB Finance PLC,Software Engineering Trainee HDFC Bank,Data Scientist,1
5,amila-viraj,Java C MySQL Machine Learning Databases Deep Learning BackEnd Web Development Python Data Science Artificial Intelligence AI TensorFlow PyTorch Keras Spring Framework Web Design Spring Boot Hibernate JPA Maven RESTful WebServices Angular NLP NLTK Computer Vision with OpenCV Koreai                           ,M.Sc. in Artificial Intelligence University of Moratuwa,"B.Sc.(Hons) in Information Technology, Information Technology University of Moratuwa", ,Data Scientist EngenuityAi,Senior Engineer (AI/ML) Virtusa,Software Engineer | AI/ML Engineer Virtusa,B.Sc.(Hons) in Information Technology University of Moratuwa,Data Scientist,1
6,psvishnu,Java Python Programming Language MySQL Cascading Style Sheets CSS SQL Git HTML Machine Learning Data Analysis C Programming Language Microsoft Office Leadership C ObjectOriented Programming OOP Microsoft Excel Deep Learning Python Data Structures Algorithms Statistics Data Science Data Analytics Tableau Statistical Data Analysis Matlab Computer Vision Microsoft SQL Server Exploratory Data Analysis Apache Spark Predictive Analytics PyTorch Spark ScikitLearn Applied Machine Learning Neural Networks JSON Supervised Learning TransactSQL TSQL Machine learning Personal Development            ,"Bachelor of Technology - BTech, Information Technology University of Kerala",Computer Science Kendriya Vidyalaya, Navy Children School,Data Scientist Happiest Minds Technologies,"Product Development Engineer Envestnet, Inc",Engineer Amnoid Labs,Public Relations Specialist Amnoid Labs,Data Scientist,1
7,seshathiri-dhanasekaran-,Big Data Analytics Machine Learning Data Analysis Programming Project Management Deep Learning Python Data Science Data Analytics Predictive Modeling Hadoop R Artificial Neural Networks Analytical Skills Management Analytics Mathematical Modeling Apache Spark Predictive Analytics TensorFlow PyTorch Keras Big Data Data Modeling Caffe Artificial Intelligence Neural Networks Business Intelligence Convolutional Neural Networks CNN Natural Language Processing Apache Flink Blockchain Internet of Things Knime RNN Ruby Ethereum Data Quality Microsoft Cognitive Toolkit CNTK watson analytics mLearning bigml Salesforce Training prediction io Apache Singa PredictionIO Apache Mahout     ,"Master of Technology (M.Tech.), Computer and Predictive Analytics B.S. Abdur Rahman Institute of Science & Technology","Bachelor of Engineering (B.E.), Computer Science and Engineering Anna University", ,R&D Data Scientist Inspirisys Solutions Limited (formerly Accel Frontline Limited),Subject Matter Expert data science MAANTT Global Services Pvt Ltd,"Research Assistant Academia Sinica, Taiwan",Data Scientist Vision Analytics,R&D Data Scientist,1
8,md-marghub-akhtar-821b3087,C MySQL SQL Microsoft Word Machine Learning Data Analysis Teamwork Public Speaking Microsoft Excel Customer Service Natural Language Processing NLP Predictive Modeling Research Management Team Management Google Cloud Platform GCP Predictive Analytics NLTK Text Mining DBMS JIRA Self Learning Training Looker Software Data Visualisation                           ,"Bachelor of Technology (B.Tech.), Computer Science DIT University","XII, Science Vidya Niketan",X St.Karen's High School,Senior Data Scientist Pluto7 ,Data Scientist Pluto7 ,Programmer Analyst Cognizant, ,Senior Data Scientist,1
9,vinamre-dhar,Python Programming Language MySQL SQL Data Engineering Big Data Analytics Machine Learning Data Analysis Microsoft Azure Microsoft Office Microsoft Excel Deep Learning Python Natural Language Processing NLP Data Visualization Data Science Data Analytics R Tableau Statistical Data Analysis OpenCV Computer Vision Artificial Intelligence AI Business Intelligence BI PySpark TensorFlow PyTorch Keras Matplotlib Pandas Software NumPy ScikitLearn Neural Networks Unsupervised Learning NLTK Convolutional Neural Networks CNN Azure Data Lake Seaborn Object Detection Azure Databricks Business Analytics Sentiment Analysis MLflow Data Lakes Data Analyst fastai Excel Flair Delta Lake Koalas SparkSQL  ,"Bachelor of Technology - BTech, Electrical and Electronics Engineering PES University","High School, Physics, Chemistry, Mathematics, English, Informatics Practices Delhi Public School , Faridabad", ,Data Scientist Kushagramati,Data Analyst Firstsource,Machine Learning Intern Headfield-Artifiq, ,Data Scientist,1
