,id,skills,edu_1,edu_2,edu_3,org_1,org_2,org_3,org_4,organization_title_1,label
0,sanjeepan,Java JavaScript Python Programming Language MySQL Nodejs Git Linux ObjectOriented Programming OOP Reactjs MongoDB Flutter Deep Learning Firebase Expressjs Natural Language Processing NLP Google Cloud Platform GCP TensorFlow Amazon Web Services AWS Gitlab Cloud Firestore                                ,"BSc Eng(Hons), Computer Science and Engineering University of Moratuwa","GCE (Advanced Level), Physical Science Kilinochchi Central College"," St. John's College, Jaffna",Machine Learning Engineer - Intern H2O.ai, , , ,Machine Learning Engineer - Intern,1
1,chandralegend,Java JavaScript Python Programming Language HTML Cascading Style Sheets CSS AngularJS Nodejs Machine Learning Data Analysis Software Development English Photography Graphic Design Programming Teamwork Leadership Project Management Computer Science Reactjs MongoDB Flutter Deep Learning Data Structures Team Leadership Data Science Computer Vision Artificial Intelligence AI Analytical Skills Research Management TensorFlow Agile Methodologies Android Development Android Neural Networks User Interface Design Logo Design Agile Project Management Product Development Internet of Things IoT Dart Go Programming Language User Experience UX User Experience Design UED Mobile Application Development Graphics Experience Design Cisco Certified Scrabble   ,"Bachelor's degree, Electrical Engineering University of Moratuwa",Mathematics Maliyadeva College,Network and System Administration/Administrator Cisco Networking Academy,Machine Learning Engineer promiseQ,Co-founder / Systems Engineer Optimus AI,Research And Development Intern SenzMate IoT Intelligence,Associate Software Engineer Ceyentra Technologies,Machine Learning Engineer,1
2,anthonyjliu,Java JavaScript HTML AngularJS Nodejs HTML Machine Learning Software Development Graphic Design CSS Leadership Public Speaking C Python Software Documentation Matlab Research Management Caffe Artificial Intelligence Android Development C Ionic Framework Photoshop Web Design Algorithm Design Ruby on Rails Youth Development Entrepreneurship Apache Cordova User Experience Illustrator Community Outreach                   ,"Bachelor of Science (B.S.), Computer Science Georgia Institute of Technology", , ,Machine Learning Engineer Facebook,Software Engineering Intern Google,Software Engineering Intern Facebook,Undergraduate Student Researcher Georgia Institute of Technology Robot Learning Lab,Machine Learning Engineer,1
3,ishvinder17,Java Python Programming Language Data Engineering Machine Learning Problem Solving C Programming Language C Deep Learning Python Data Structures Algorithms Hadoop Computer Vision PyTorch Operating Systems PLSQL Unix Scripting IBM Cognos Insights                                 ,"Bachelor of Engineering - BE, CSE, Big Data Analytics CHANDIGARH UNIVERSITY", , ,Machine Learning Engineer One Fourth Labs,Machine Learning Intern One Fourth Labs,Course Manager PadhAI - One Fourth Labs,Deep  Learning Teaching Assistant PadhAI - One Fourth Labs,Machine Learning Engineer,1
4,khumairraj,Data Analysis Deep Learning Python Arduino Robotics Bioinformatics Event Management Team Mentoring CPP                                           ,"Bachelor of Technology Indian Institute of Technology, Roorkee",Higher Secondary Salt Brook Academy - India, ,Machine Learning Engineer Expent,Data Science Associate ZS,Coordinator - Data Science Group SDSLabs,"Research Intern, Indian Institute of Science ( IISC ) Video Analytics Lab",Machine Learning Engineer,1
5,girish-sathyanarayana-b2a51b19,Java SQL Linux Machine Learning Software Development Programming Python Statistics Data Science Hadoop Hive Apache Pig Mathematical Modeling Stochastic Modeling Apache Spark Distributed Systems Optimization Algorithm Design Probability Theory Adtech vowpal wabbit RealTime Bidding                              ,"Master of Technology (MTech), Computational Science Indian Institute of Science (IISc)","Bachelor of Engineering (BE), Electrical and Electronics Engineering NIE,mysore", ,Staff Machine Learning Engineer Twitter,Staff Data Scientist Myntra,Lead Data Scientist Myntra,Senior Data Scientist AppLift,Staff Machine Learning Engineer,1
6,vetrivel-ps,Java JavaScript Python Programming Language MySQL SQL HTML Machine Learning Deep Learning Python Data Science Exploratory Data Analysis Predictive Analytics jQuery Windows Matplotlib Hibernate NLP Microsoft Azure Machine Learning JSP Blogging Struts Technical Writing Servlet Building ML Models                            ,"Master of Technology - M.Tech, Data Science Birla Institute of Technology and Science, Pilani","Bachelor of Engineering - B.E, Computer Science KCG College of Technology", ,Lead Machine Learning Engineer (ML/NLP) Accenture,Machine Learning Consultant (ML/NLP) EY,Machine Learning Engineer (ML/NLP) Infosys, ,Lead Machine Learning Engineer (ML/NLP),1
7,amolamale,Python Programming Language SQL Machine Learning Data Analysis Programming Microsoft Excel Deep Learning Algorithms Data Mining Statistics Data Science Data Analytics Predictive Modeling R Logistic Regression Linear Regression Support Vector Machine SVM Decision Trees Time Series Analysis Statistical Data Analysis Statistical Modeling Minitab Analytical Skills Analytics Bayesian statistics Predictive Analytics Regression Analysis SAS Programming Engineering SAS MATLAB Statistical Process Control SPC Applied Machine Learning Convolutional Neural Networks CNN Statistical Analysis Quantitative Analytics Statistical Programming Statistical Computing Statistical Consulting Descriptive Analysis Clinical Trials           ,"Master's degree, Statistics (Specialization in Industrial Statistics) North Maharashtra University","B.Sc., Statistics Moolji Jaitha College((Khandesh College Education Society)", ,Machine Learning Engineer whiz.ai,Data Science and Business Analytics Whirldata Inc, , ,Machine Learning Engineer,1
8,atmadeep-banerjee,Java C Machine Learning Deep Learning Python Artificial Neural Networks Computer Vision TensorFlow Keras Artificial Intelligence Convolutional Neural Networks CNN UnityD                                        ,"Bachelor of Engineering, Computer Science and Information Systems Birla Institute of Technology and Science, Pilani", , ,Machine Learning Engineer Morphle Labs Inc. YC W20,Resarch Intern Aalto University,Research Intern Harvard John A. Paulson School of Engineering and Applied Sciences,Machine Learning Intern Visual One,Machine Learning Engineer,1
9,jameelhassan,Git Machine Learning C Programming Language Teamwork Deep Learning Python Algorithms Computer Vision Artificial Intelligence AI Research Engineering Electrical Engineering MATLAB Signal Processing Optimization Biomedical Engineering Optimisation                                   ,"Bachelor's degree, Electrical and Electronics Engineering University of Peradeniya","Self learning, Machine Learning and Artifical Intelligence Coursera Online Learning","High School Graduate, Physical Sciences (Applied Mathematics) Trinity College Kandy",Associate Machine Learning Engineer Veracity AI,Research Engineer University of Peradeniya,"Teaching Assistant - Volunteer University of Peradeniya, Sri Lanka.",Electrical and Electronics Engineer (Intern) Vega Innovations,Associate Machine Learning Engineer,1
