,id,skills,edu_1,edu_2,edu_3,org_1,org_2,org_3,org_4,organization_title_1,label
0,tharindu-liyanagunawardana,Project Management Team Leadership Team Management Network Security Networking Network Administration Firewalls Network Design Windows Server Cisco Systems Products                                          ,"National Vocational Qualification, Network and System Administration/Administrator Vocational Training Authority","Diploma in Computer Hardware and Network Technology, Network and System Administration/Administrator IDM Nation Campus","Higher National Diploma, Computer Networking Eduvos",Senior Engineer-Data Center LOLC Technologies Limited,Systems Engineer LOLC Technologies Limited,System Engineer DSI Samson Group - Sri Lanka,Associate System Engineer DSI Samson Group - Sri Lanka,Senior Engineer-Data Center,1
1,hashanrubenthra,Linux Microsoft Azure Microsoft Office Database Administration Information Technology Network Administration Firewalls Troubleshooting AWS Office Windows Server Computer Hardware Reporting ITIL IT Security Domain Name System DNS VoIP Vulnerability Assessment VMware Infrastructure ISOIEC Helpdesk Support Monitoring Data Center Management Email Administration Server Management Web Hosting Backup Recovery Management Coding DLP Network Diagram                      ,"Bachelor of Science (B.Sc.), Information Technology SLIIT"," St. Benedict's College, Colombo-13", ,Senior Systems Engineer - Data Center Eureka Technology Partners,System Administrator - Data Center Eureka Technology Partners,System Support Specialist - Data Center Eureka Technology Partners, ,Senior Systems Engineer - Data Center,1
2,krishan-nandakumara,Customer Service Team Leadership Team Management Networking JavaSE Troubleshooting Windows Server Reporting Analysis Computer Hardware Windows DHCP Technical Support Windows XP VMware vSphere Support Engineers ServiceLevel Agreements SLA Data Center                                   ,"JavaSE, Computer Programming University of Colombo School of Computing", Prince of Wales' College," S.De.S Jayasinghe College,Dehiwala",Data Center Support Engineer N-Able Private Limited,Helpdesk Executive N-Able Private Limited,IT Support Executive HelloCorp (Pvt.) Ltd., ,Data Center Support Engineer,1
3,dilan-ranasinghe-676661125,Graphic Design Microsoft Office Networking Windows Network Administration Computer Hardware Windows System Administration                                             ,"Degree , Computing Wrexham Glyndŵr University","Information Communication Technology Technician  , Information Technology National Apprentice and Industrial Training Authority",Computer Hardware Technology/Technician Vocational Training Center Dehiwala,Data Center Support Executive  N-Able Private Limited,IT Assistant Ceyoka pvt Ltd.,Computer trainee Ministry of sport , ,Data Center Support Executive ,1
4,kasun-de-silva-19023619,Java C Linux HTML Microsoft Word Microsoft Office Teamwork C Microsoft Excel Customer Service PowerPoint Matlab Networking Windows Network Administration Network Design Computer Hardware Presales TCPIP                                 ,"Master of Science - MS, Network & Information Security Kingston University", Sri Lanka Institute Of Information Technology, ,Engineer - Data Centers Fentons Limited,Senior System Engineer MicroSolutions Information Systems (Pvt.) Ltd.,Systems Engineer MicroSolutions Information Systems (Pvt.) Ltd.,Trainee Systems Engineer Lanka Bell,Engineer - Data Centers,1
5,chethiyaj,SQL Microsoft Azure Microsoft Office Microsoft SQL Server Network Security Android Development Networking Windows Web Services Troubleshooting Windows Server System Administration Active Directory Computer Hardware Internet Information Services IIS SharePoint Administration Wireless Networking DNS network cabling Cisco Hardware Troubleshooting Network Problems Repairing Laptops iPhone Support Android Support Android Testing Server Administration Data Domain Corporate Website Management                       ,Cisco A+ Cisco Networking Academy,Sri Lanka Air Force Vocational Training Authority of Sri Lanka,GCE O.L / A.L Nalanda College Colombo,Engineer Cloud System/ Data Center Operations D P Infotech Private Limited,Senior System Administrator David Pieris Group,System Administrator Assetline,System Administrator Lisvin Investments,Engineer Cloud System/ Data Center Operations,1
6,nuwan-chamara-8504b8138,Java Python Programming Language Microsoft SQL Server Networking Telecommunications CCNA Cisco Networking Servers Computer Networking DHCP Telecommunications Engineering DNS Service Provider Networks Internet Protocol Suite TCPIP Routing Switches OSPF CCNP eBGP Cisco IOS MPLS Networking Cisco Application Centric Infrastructure ACI Cisco Nexus HP Cisco Identity Services Engine ISE Cisco Firepower Fortinet Network Management Systems NMS AAA Advanced IP Addressing And Routing Cloud Resources Dynamic Multipoint VPN Cisco Web Security Appliance WSA VSS Virtual Switch Services Infrastructure Security And Services Cisco Hyperflex Aruba Csico ACI              ,"National Diploma In Technology, Electronics and Telecommunication Engineering University of Moratuwa", Rahula College, ,Network & Data Center Engineer NCINGA,Network Engineer NCINGA,Technical Specialist - Service Provider Networks N-Able Private Limited,Enterprise Technical Assistance Centre Dialog Axiata PLC,Network & Data Center Engineer,1
7,sahan-samarasinghe-a38bb856,Java C HTML Microsoft Word Microsoft Office Leadership Public Speaking C Project Management Microsoft Excel Customer Service Python Team Leadership PowerPoint Software Project Management Analysis Management Team Management Strategic Planning Business Strategy Software Engineering Project Planning Artificial Intelligence C Information Technology IT Management Marketing Social Media Oracle Database Entrepreneurship VMware Marketing Strategy Active Directory VMware Infrastructure VMware vSphere Storage Area Network SAN Oracle EBusiness Suite Microsoft Exchange System Center Configuration Manager SCCM Fundraising            ,"Master of Business Administration - MBA, Business Administration and Management, General University of Bedfordshire","Bachelor’s Degree, Bsc. (Hons) In Information Technology General Sir John Kotelawala Defence University","High School, Business/Commerce, General Ananda College",Systems Engineer - Data Center Solutions Team  MillenniumIT ESP,Infrastructure Engineer Pearson,Intern System Support Engineer - Managed Services Team MillenniumIT, ,Systems Engineer - Data Center Solutions Team ,1
8,gokulan-gajendran-3b1154b1,Editing Microsoft Office Networking Information Technology Social Media Music Computer Networking Social Media Marketing Social Networking Singing Music Production                                         ,"Bachelor's degree, Computer Science Wrexham Glyndŵr University","High School Diploma, Ethical Hacking APTECH Computer Education", ,Senior Data Network Engineer HCL Technologies,Assistant IT Manager Oasis International School,IT Executive Fairway Colombo,IT Technician Ceylon Newspapers (Pvt) Ltd,Senior Data Network Engineer,1
9,sahan-ranatunga-9b31816b,C Python Programming Language Machine Learning Programming C Deep Learning Data Science Matlab TensorFlow Telecommunications Microcontrollers Digital Signal Processing RF Antennas Spectrum Analyzer Network Analyzer PCB design Power Electronics Radio Frequency RF Cisco Routers Routing Protocols RF Theory Measurements and Equipments Power Electronic Devices FPGA Data communication                          ,"BSc. Eng, Telecommunication, Electronics and Computer Engineering The Institution of Engineers, Sri Lanka"," St. Peters College, Colombo 04", ,Engineer - Data Network Operations Sri Lanka Telecom,Engineer Arthur C Clarke Institute for Modern Technologies (ACCIMT),Lecturer & Practical Demonstrator Arthur C Clarke Institute for Modern Technologies (ACCIMT),Trainee Sri Lanka Telecom Ltd.,Engineer - Data Network Operations,1
