,id,skills,edu_1,edu_2,edu_3,org_1,org_2,org_3,org_4,organization_title_1,label
0,chanaka-lakshan-balasuriya,Java JavaScript Python Programming Language MySQL Bootstrap Nodejs Git HTML C Programming Language Adobe Photoshop Adobe Premiere Pro ObjectOriented Programming OOP Flutter Angular Adobe Illustrator Artificial Intelligence AI TensorFlow Android NoSQL JSON Web Application Development Android Studio Adobe XD Unreal Engine SASS                           ,"Bachelor of Science with Honours , Computer Science and Software Engineering University of Bedfordshire","Higher National Diploma, Computer Science SLIIT", ,Software Engineer Nova Solutions, , , ,Software Engineer,1
1,aayushdheemar,Python Programming Language HTML Cascading Style Sheets CSS Bootstrap Machine Learning Data Analysis C Programming Language Adobe Photoshop Deep Learning Adobe Illustrator Data Science Image Processing Computer Vision Google Cloud Platform GCP Django Django REST Framework Adobe XD Optical Character Recognition OCR                                  ,"Bachelor of Technology - BTech, Computer Science Indian Institute of Information Technology Vadodara",Science Atomic Energy Central School RRCAT Indore,Deep Learning Nanodegree Udacity,Software Engineer Searce Inc,Software Engineering Analyst Searce Inc,Machine Learning Intern Ignitus, ,Software Engineer,1
2,gunarakulan-gunaretnam-161119156,Software Development Databases English Teamwork ObjectOriented Programming OOP Team Leadership C Web Services Software Design ASPNET Software Business                                        ,"Computing and System Development Specialized in Software Engineering, Artificial Intelligence University of Wolverhampton", , ,Software Engineer araCreate,Teacher Sri Lanka Unites Youth Reconciliation Center - Batticaloa,Co-Founder AI4Life,Guardian at Software Lab DreamSpace Academy,Software Engineer,1
3,nibraz-munas-197265157,Java JavaScript Python Programming Language Microsoft Office Leadership Public Speaking ObjectOriented Programming OOP Database Management System DBMS Software Quality                                           ,"BSc (Hons) in Information Technology, Software Engineering SLIIT",Diploma in Information Technology (DiTEC) ESOFT Metro Campus, ,Software Engineer GrubTech,Automation and Quality Assurance Intern N-Able Private Limited, , ,Software Engineer,1
4,nuwan-rathnayaka-8464a8a7,Java JavaScript MySQL HTML Cascading Style Sheets CSS SQL Web Development Git Linux HTML Machine Learning Microsoft Azure Teamwork ObjectOriented Programming OOP Reactjs MongoDB Angular Deep Learning Python Data Structures Data Visualization Data Science Time Series Analysis Computer Vision TensorFlow Ubuntu Keras Agile Methodologies Amazon Web Services AWS Django jQuery FullStack Development Neural Networks Microsoft Azure Machine Learning Flask TypeScript Jupyter Nginx Continuous Integration and Continuous Delivery CICD Microsoft Bot framework react Single Page Applications Storybooks redux        ,"Bachelor of Applied Science - BASc, Computer Engineering University of Moratuwa", , ,Senior Software Engineer 99x,Software Engineer Creately,Research Development Software Engineer JOHN KEELLS IT,Software Engineering Intern Ellipsis...,Senior Software Engineer,1
5,nimesh-buddhika-weerasinghe-8494a1109,JavaScript HTML Cascading Style Sheets CSS Bootstrap Nodejs Linux Machine Learning Data Analysis English Microsoft Office Leadership C Microsoft Excel Expressjs Algorithms Team Leadership Data Science Matlab RESTful WebServices GNU Octave Proteus Reduxjs Computer Networking Wireshark Kali Linux Redux Thunk Research Projects Nmap                        ,Computer Engineering University of Sri Jayewardenepura," Dhammissara National College,  Naththandiya", ,Intern Software Engineer iLabs,Campus Ambassador STEMUp Educational Foundation,Cloud Skills Challenge - USJ Organizing Committee Leader Microsoft,project Member AIESEC Sri Lanka,Intern Software Engineer,1
6,udara-dharmasena,Java JavaScript Python Programming Language MySQL HTML Cascading Style Sheets CSS AngularJS Linux Data Engineering Machine Learning Microsoft Office Deep Learning Python Natural Language Processing NLP Data Visualization Image Processing Matlab OpenCV Computer Vision TensorFlow Keras Django jQuery Flask Design Patterns Spring MVC Data Pipelines Spring Security Ethical Hacking                       ,"Bachelor of Science (B.Sc.), Electrical and Information Engineering Faculty of Engineering, University of Ruhuna","Software Engineering Diploma, Computer Software Engineering Java Institute for Advanced Technology", ,Software Engineer Virtusa,Software Engineering Trainee Coca-Cola Beverages Sri Lanka Ltd.,Software Engineering Trainee Mobitel (Pvt) Ltd, ,Software Engineer,1
7,suleka-helmini,Java C JavaScript PHP MySQL HTML AngularJS Nodejs SQL HTML Machine Learning Microsoft Office Teamwork Leadership C Project Management Reactjs MongoDB Microsoft Excel Customer Service Deep Learning Python Arduino Research Management Team Management Android NLP Recurrent Neural Networks RNN Raspberry Pi Internet of Things c Play Framework Data Entry Cascading Style Sheets expressjs ES jquery Sencha Ext JS            ,"Bachelor’s Degree, Software Engineering Informatics Institute of Technology, Sri Lanka",Diploma in Computer System Design NIBM,High School Visakha Vidyalaya,Software Engineer WSO2,Mentor Google Summer of Code,Mentor Google Code-in,Developer Google Summer of Code,Software Engineer,1
8,harrish-selvarajah-a90697157,Java JavaScript HTML Nodejs Machine Learning Microsoft Azure Public Speaking C Angular Python DevOps Android JavaFX React Native GitHub Blockchain                                    ,"Bachelor of Engineering - BE, Computer Software Engineering University of Westminster","Biology, Chemistry, Physics, Maths Lyceum International School Wattala", ,Software Engineer Calcey Technologies,Freelance Developer Freelance,Software Engineering Trainee 99X Technology, ,Software Engineer,1
9,zina-youhan-298b06163,Java JavaScript Python Programming Language PHP MySQL HTML Cascading Style Sheets CSS Bootstrap SQL Git HTML Software Development Teamwork Leadership Reactjs Flutter docker WSO Open Banking WSO API Manager WSO Identity Access Management                                ,"B.Sc (Hons), Software Engineering University of Kelaniya Sri Lanka", , ,Software Engineer Intern WSO2, , , ,Software Engineer Intern,1
10,harivarshan-selvarajah,Microsoft Word Leadership Public Speaking Project Management Computer Science Microsoft Excel Microsoft PowerPoint Team Leadership Research                                           ,"Computer Science, Computer Science Informatics Institute of Technology","GCE A/L, Mathematics Royal College Colombo", ,Software Engineer Intern Sysco LABS Sri Lanka,Chairperson IEEE Student Branch of Informatics Institute of Technology,Director Of Public Relations Mozilla Campus Club of IIT, ,Software Engineer Intern,1
11,sanjana-de-zoysa7,JavaScript SQL Web Development HTML Microsoft Office Adobe Photoshop Firebase Microsoft SQL Server Java Development Android Mobile Application Development HTML CSS and PHP                                        ,"Bachelor's degree, Software Engineering General Sir John Kotelawala Defence University",Physical Science stream G/ P De S Kularathna College,Certification of Business English University of Colombo,Software Engineer Intern IFS,Chief Coordinator IEEE WIE Student Branch Affinity group of Kotelawala Defence University,Secretary of IEEE Student Branch in General Sir John Kotelawala Defence University IEEE Student Branch Kotelawala Defence University, ,Software Engineer Intern,1
