,id,skills,edu_1,edu_2,edu_3,org_1,org_2,org_3,org_4,organization_title_1
1,sanjeepan,Java JavaScript Python Programming Language MySQL Nodejs Git Linux ObjectOriented Programming OOP Reactjs MongoDB Flutter Deep Learning Firebase Expressjs Natural Language Processing NLP Google Cloud Platform GCP TensorFlow Amazon Web Services AWS Gitlab Cloud Firestore                                ,"BSc Eng(Hons), Computer Science and Engineering University of Moratuwa","GCE (Advanced Level), Physical Science Kilinochchi Central College"," St. John's College, Jaffna",Machine Learning Engineer - Intern H2O.ai, , , ,Machine Learning Engineer - Intern
2,chandralegend,Java JavaScript Python Programming Language HTML Cascading Style Sheets CSS AngularJS Nodejs Machine Learning Data Analysis Software Development English Photography Graphic Design Programming Teamwork Leadership Project Management Computer Science Reactjs MongoDB Flutter Deep Learning Data Structures Team Leadership Data Science Computer Vision Artificial Intelligence AI Analytical Skills Research Management TensorFlow Agile Methodologies Android Development Android Neural Networks User Interface Design Logo Design Agile Project Management Product Development Internet of Things IoT Dart Go Programming Language User Experience UX User Experience Design UED Mobile Application Development Graphics Experience Design Cisco Certified Scrabble   ,"Bachelor's degree, Electrical Engineering University of Moratuwa",Mathematics Maliyadeva College,Network and System Administration/Administrator Cisco Networking Academy,Machine Learning Engineer promiseQ,Co-founder / Systems Engineer Optimus AI,Research And Development Intern SenzMate IoT Intelligence,Associate Software Engineer Ceyentra Technologies,Machine Learning Engineer
5,lshan-weerakoon-58005a141,Java C Python Programming Language MySQL Science Flutter R Programming Language Android Studio Database Management System DBMS PhpMyAdmin Remote sensing Gis                                        ,BSc (Hons)  Survey  science Sabaragamuwa University of Sri Lanka,"Higher National Diploma, Computer Science SLIIT",Physical Sciences H/ Katuwana national school,Junior ML Engineer Omdena,Flutter developer Startup,Fiverr Fiverr, ,Junior ML Engineer
6,chanaka-lakshan-balasuriya,Java JavaScript Python Programming Language MySQL Bootstrap Nodejs Git HTML C Programming Language Adobe Photoshop Adobe Premiere Pro ObjectOriented Programming OOP Flutter Angular Adobe Illustrator Artificial Intelligence AI TensorFlow Android NoSQL JSON Web Application Development Android Studio Adobe XD Unreal Engine SASS                           ,"Bachelor of Science with Honours , Computer Science and Software Engineering University of Bedfordshire","Higher National Diploma, Computer Science SLIIT", ,Software Engineer Nova Solutions, , , ,Software Engineer
7,piraveen-s,Java JavaScript Cascading Style Sheets CSS Bootstrap Nodejs Web Development Laravel HTML Adobe Photoshop Adobe Premiere Pro Adobe Illustrator Creative Problem Solving Adobe Lightroom React Native PhpMyAdmin php Competitive Programming After Effects Maths                                 ,"Bachelor's degree, Computer Software Engineering University of Moratuwa", Jaffna Hindu College, ,Machine Learning Intern H2O.ai,Project Intern Yarl IT Hub, , ,Machine Learning Intern
8,anthonyjliu,Java JavaScript HTML AngularJS Nodejs HTML Machine Learning Software Development Graphic Design CSS Leadership Public Speaking C Python Software Documentation Matlab Research Management Caffe Artificial Intelligence Android Development C Ionic Framework Photoshop Web Design Algorithm Design Ruby on Rails Youth Development Entrepreneurship Apache Cordova User Experience Illustrator Community Outreach                   ,"Bachelor of Science (B.S.), Computer Science Georgia Institute of Technology", , ,Machine Learning Engineer Facebook,Software Engineering Intern Google,Software Engineering Intern Facebook,Undergraduate Student Researcher Georgia Institute of Technology Robot Learning Lab,Machine Learning Engineer
9,vidura-wijekoon-37976617b,Python Programming Language PHP Cascading Style Sheets CSS SQL C Programming Language Microsoft Office Public Speaking C Flutter Arduino Natural Language Processing NLP Matlab Management SolidWorks Time Management PLC Programming Pandas Software Frontend Development AutoCAD Chess DASH EasyEDA Impromptu Speaking Etap OPP sharemarket investing sharemarket knowledge Carla Energy Audits                       , kegalle swarnajayanthi vidyalaya, Ruwanwalla jathika maha vidyalaya,"Cima Certificate level, The Chartered Institute Of Management Accounting Aspire business school kandy",Vice Chairman IEEE IAS Ruhuna Student Chapter,Omdena Srilankan Chapter Lead - UoR Omdena Sri Lanka Chapter,Programme Member IEEE Techno Meetup Sri Lanka,Machine Learning Engineer Omdena,Vice Chairman
10,ethanthai,C Python Programming Language Machine Learning Programming Microsoft Office Project Management Statistics Image Processing Computer Vision Digital Signal Processing Engineering Mathematics Musical Background Video Game Journalism Video Games Music Theory Music Composition                                    , , , ,AI Engineer Bosch,Artificial Intelligence Engineer MTI Technology, , ,AI Engineer
11,aayushdheemar,Python Programming Language HTML Cascading Style Sheets CSS Bootstrap Machine Learning Data Analysis C Programming Language Adobe Photoshop Deep Learning Adobe Illustrator Data Science Image Processing Computer Vision Google Cloud Platform GCP Django Django REST Framework Adobe XD Optical Character Recognition OCR                                  ,"Bachelor of Technology - BTech, Computer Science Indian Institute of Information Technology Vadodara",Science Atomic Energy Central School RRCAT Indore,Deep Learning Nanodegree Udacity,Software Engineer Searce Inc,Software Engineering Analyst Searce Inc,Machine Learning Intern Ignitus, ,Software Engineer
12,stanislav-p-042898114,Git Linux Machine Learning Data Analysis Computer Science Python Data Science Natural Language Processing Numpy Pandas  Sklearn Public Speech                                       ,"Бакалавр, Фундаментальная информатика и ИТ Peoples’ Friendship University of Russia", , ,Founding ML Engineer Poised,Member OpenDataScience,ML Engineer МТС,ML Engineer Just AI Global,Founding ML Engineer
