,id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,education_1,education_degree_1,education_start_1,education_end_1,education_description_1,education_2,education_degree_2,education_start_2,education_end_2,education_description_2,education_3,education_degree_3,education_start_3,education_end_3,education_description_3,organization_1,organization_title_1,organization_start_1,organization_2,organization_title_2,organization_start_2,organization_3,organization_title_3,organization_start_3,organization_4,organization_title_4,organization_start_4
0,anuradhahennayake,Java,C,JavaScript,Python Programming Language,PHP,MySQL,Cascading Style Sheets CSS,python,HTML,Machine Learning,Data Analysis,Microsoft Azure,CSS,C,ObjectOriented Programming OOP,Artificial Neural Networks,NetBeans,RStudio,R Programming Language,PySpark,Android Development,OOP,Eclipse,Android,Visual Studio,Core Java,JSP,Recurrent Neural Networks RNN,R programming,Long Shortterm Memory LSTM,Azure Databricks,phpMyAdmin,Time series forecasting,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,University of Sri Jayewardenepura,"Master of Philosophy - MPhil, Engineering",2019.0,2021.0,,University of Moratuwa,"B.Sc IT Hons, Information Technology",2011.0,2015.0,,CP\KOT\ Harangala Maha Vidyalaya,,,,,Virtusa,AI/ML Engineer,2021.1,Innovation Quotient (Pvt)Ltd,Junior Data Scientist,2021.08,Virtusa,Software QA Engineer,2016.07,Ceylon Linux (Pvt) Ltd,Trainee Software Engineer,2014.05
1,sanjeepan,Java,JavaScript,Python Programming Language,MySQL,Nodejs,Git,Linux,ObjectOriented Programming OOP,Reactjs,MongoDB,Flutter,Deep Learning,Firebase,Expressjs,Natural Language Processing NLP,Google Cloud Platform GCP,TensorFlow,Amazon Web Services AWS,Gitlab,Cloud Firestore,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,University of Moratuwa,"BSc Eng(Hons), Computer Science and Engineering",2018.0,2022.0,,Kilinochchi Central College,"GCE (Advanced Level), Physical Science",2015.05,2017.08,"-""A"" passes for all 3 subjects Combined Maths, Physics and Chemistry - Z-Score: 2.1066, Island Rank: 295","St. John's College, Jaffna",,2009.0,2015.0,,H2O.ai,Machine Learning Engineer - Intern,2021.12,,,,,,,,,
2,chandralegend,Java,JavaScript,Python Programming Language,HTML,Cascading Style Sheets CSS,AngularJS,Nodejs,Machine Learning,Data Analysis,Software Development,English,Photography,Graphic Design,Programming,Teamwork,Leadership,Project Management,Computer Science,Reactjs,MongoDB,Flutter,Deep Learning,Data Structures,Team Leadership,Data Science,Computer Vision,Artificial Intelligence AI,Analytical Skills,Research,Management,TensorFlow,Agile Methodologies,Android Development,Android,Neural Networks,User Interface Design,Logo Design,Agile Project Management,Product Development,Internet of Things IoT,Dart,Go Programming Language,User Experience UX,User Experience Design UED,Mobile Application Development,Graphics,Experience Design,Cisco Certified,Scrabble,nan,nan,,University of Moratuwa,"Bachelor's degree, Electrical Engineering",2017.0,2022.0,,Maliyadeva College,Mathematics,2002.0,2016.0,,Cisco Networking Academy,Network and System Administration/Administrator,2019.0,2020.0,,promiseQ,Machine Learning Engineer,2021.08,Optimus AI,Co-founder / Systems Engineer,2018.06,SenzMate IoT Intelligence,Research And Development Intern,2020.12,Ceyentra Technologies,Associate Software Engineer,2019.07
3,supun-weerakoon,Python Programming Language,SQL,Git,Big Data Analytics,Machine Learning,Data Analysis,Programming,Teamwork,Data Mining,Artificial Neural Networks,Tableau,Artificial Intelligence AI,Research,Microsoft Power BI,TensorFlow,Big Data,Amazon Web Services AWS,Software Engineering,Convolutional Neural Networks CNN,Flask,Recurrent Neural Networks RNN,Reinforcement Learning,PostgreSQL,GitHub,Test Automation,Testing,Cloud Applications,Heroku,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,University of Peradeniya,"Master's degree, Computer Science",2020.0,2022.0,"Activities & Projects : ⠀⠀⠀ ⠀☑ IEEE Research Paper Publication in ICIIS Conference ⠀⠀⠀ ⠀☑ Comparative Analysis of ANN, RNN & RF Models for HVAC Energy Predictions ⠀⠀⠀ ⠀☑ Cloud Deployment of Image Classification Web Application ⠀⠀⠀ ⠀☑ Stocks Trading via Q Learning & Visualization in Tableau ⠀⠀⠀ ⠀☑ Back-end Web Application via Node.js & TypeScript",University of Moratuwa,"Bachelor's degree, Electrical and Electronics Engineering",2014.0,2018.0,"Activities & Projects : ⠀⠀⠀ ⠀☑ IEEE Research Paper Publication in MERCon Conference ⠀⠀⠀ ⠀☑ LVDC Microgrid Control Strategy Using Single Phase DQ Transformation ⠀⠀⠀ ⠀☑ Street lamp setup with autonomous solar tracking & light intensity control system ⠀⠀⠀ ⠀☑ Smart IOT based environmental factor gauge for greenhouses ⠀⠀⠀ ⠀☑ Member of  Institute Of Electrical & Electronics Engineers (IEEE) ⠀⠀⠀ ⠀☑ Member of Electrical Engineering Society, University of Moratuwa (EESoc) ⠀⠀⠀ ⠀☑ Member of The Institution Of Engineering & Technology (IET)",Dharmaraja College - Kandy,GCE Ordinary Level & GCE Advanced Level,2004.0,2013.0,Activities & Societies : ⠀⠀⠀ ⠀☑ Committee Member of Astronomy Society ⠀⠀⠀ ⠀☑ Committee Member of Information & Communication Technology Club ⠀⠀⠀ ⠀☑ Member of Buddhist Students’ Association ⠀⠀⠀ ⠀☑ Member of General Knowledge Club ⠀⠀⠀ ⠀☑ Committee Member of Science Society ⠀⠀⠀ ⠀☑ Swimming ⠀⠀⠀ ⠀☑ Cricket,DSP Controls,Data Scientist,2019.01,Ceylon Electricity Board (CEB),Electrical Engineer,2017.09,Central Engineering Consultancy Bureau,Electrical Engineering Consultant,2017.06,,,
4,chamathabeysinghe,Java,C,JavaScript,PHP,MySQL,Cascading Style Sheets CSS,Laravel,Linux,HTML,Machine Learning,Software Development,Microsoft Office,CSS,Teamwork,C,Reactjs,Python,Algorithms,Team Leadership,Hadoop,Computer Vision,NetBeans,TensorFlow,Keras,Distributed Systems,Artificial Intelligence,C,OOP,jQuery,Visual Studio,ScikitLearn,Photoshop,Natural Language Processing,Pandas,CUDA,Reduxjs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,University of Moratuwa,"Bachelor of Science (B.Sc.) Honours, Computer Science and Engineering",2014.0,2018.0,"Coures: Computer Architecture, Computer Architecture, Object Oriented Programming, Numerical Methods for Computer Science, Electronic Devices and Circuits, Operating Systems, Calculus for System Modelling, Computer Networks, Database Systems, Linear Algebra, Differential Equations and Applications, Intelligent Systems, Computer Security	, Applied Statistics, Micro-controllers and Applications, Concurrent Programming, Machine Learning, Computer Vision, Data Mining & Information Retrieval, Distributed Systems, Numerical Analysis for Scientific Computing, Bioinformatics",Royal College Colombo,Physical Science Stream,2005.0,2013.0,-Ranked as island 12th in G.C.E(A/L) exam with a z-score of 2.7 -Dr. J. Nanayakkara Memorial Prize for the second highest in the Physics in G.C.E.(A/L) Examination 2013	 -Charles Hartley Memorial Prize for Grade 12 Best performance in Combined Mathematics  -Passed G.C.E.(O/L) with 8As and 1B,,,,,,PrimeSens,Data Scientist Consultant,2021.01,University of Moratuwa,Lecturer,2019.01,WSO2,Software Engineering Intern,2017.06,,,
5,lshan-weerakoon-58005a141,Java,C,Python Programming Language,MySQL,Science,Flutter,R Programming Language,Android Studio,Database Management System DBMS,PhpMyAdmin,Remote sensing,Gis,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,Sabaragamuwa University of Sri Lanka,BSc (Hons)  Survey  science,,,,SLIIT,"Higher National Diploma, Computer Science",2017.0,2020.0,,H/ Katuwana national school,Physical Sciences,,,GCE A/L Mathematics-B Physics         -B chemistry     -B,Omdena,Junior ML Engineer,2021.11,Startup,Flutter developer,2021.07,Fiverr,Fiverr,2020.04,,,
6,chanaka-lakshan-balasuriya,Java,JavaScript,Python Programming Language,MySQL,Bootstrap,Nodejs,Git,HTML,C Programming Language,Adobe Photoshop,Adobe Premiere Pro,ObjectOriented Programming OOP,Flutter,Angular,Adobe Illustrator,Artificial Intelligence AI,TensorFlow,Android,NoSQL,JSON,Web Application Development,Android Studio,Adobe XD,Unreal Engine,SASS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,University of Bedfordshire,"Bachelor of Science with Honours , Computer Science and Software Engineering",2020.09,2021.06,,SLIIT,"Higher National Diploma, Computer Science",2018.0,2020.0,,,,,,,Nova Solutions,Software Engineer,2021.1,,,,,,,,,
7,piraveen-s,Java,JavaScript,Cascading Style Sheets CSS,Bootstrap,Nodejs,Web Development,Laravel,HTML,Adobe Photoshop,Adobe Premiere Pro,Adobe Illustrator,Creative Problem Solving,Adobe Lightroom,React Native,PhpMyAdmin,php,Competitive Programming,After Effects,Maths,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,University of Moratuwa,"Bachelor's degree, Computer Software Engineering",2018.0,2023.0,,Jaffna Hindu College,,,,,,,,,,H2O.ai,Machine Learning Intern,2021.12,Yarl IT Hub,Project Intern,2018.04,,,,,,
8,anthonyjliu,Java,JavaScript,HTML,AngularJS,Nodejs,HTML,Machine Learning,Software Development,Graphic Design,CSS,Leadership,Public Speaking,C,Python,Software Documentation,Matlab,Research,Management,Caffe,Artificial Intelligence,Android Development,C,Ionic Framework,Photoshop,Web Design,Algorithm Design,Ruby on Rails,Youth Development,Entrepreneurship,Apache Cordova,User Experience,Illustrator,Community Outreach,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,Georgia Institute of Technology,"Bachelor of Science (B.S.), Computer Science",2016.0,2020.0,Threads: Intelligence & Theory,,,,,,,,,,,Facebook,Machine Learning Engineer,2020.08,Google,Software Engineering Intern,2019.09,Facebook,Software Engineering Intern,2019.05,Georgia Institute of Technology Robot Learning Lab,Undergraduate Student Researcher,2017.01
9,vidura-wijekoon-37976617b,Python Programming Language,PHP,Cascading Style Sheets CSS,SQL,C Programming Language,Microsoft Office,Public Speaking,C,Flutter,Arduino,Natural Language Processing NLP,Matlab,Management,SolidWorks,Time Management,PLC Programming,Pandas Software,Frontend Development,AutoCAD,Chess,DASH,EasyEDA,Impromptu Speaking,Etap,OPP,sharemarket investing,sharemarket knowledge,Carla,Energy Audits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,kegalle swarnajayanthi vidyalaya,,2005.0,2006.0,,Ruwanwalla jathika maha vidyalaya,,2003.0,2004.0,,Aspire business school kandy,"Cima Certificate level, The Chartered Institute Of Management Accounting",,,,IEEE IAS Ruhuna Student Chapter,Vice Chairman,2021.09,Omdena Sri Lanka Chapter,Omdena Srilankan Chapter Lead - UoR,2021.06,IEEE Techno Meetup Sri Lanka,Programme Member,2021.05,Omdena,Machine Learning Engineer,2021.04
