,id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,anuradhahennayake,Java,C,JavaScript,Python Programming Language,PHP,MySQL,Cascading Style Sheets CSS,python,HTML,Machine Learning,Data Analysis,Microsoft Azure,CSS,C,ObjectOriented Programming OOP,Artificial Neural Networks,NetBeans,RStudio,R Programming Language,PySpark,Android Development,OOP,Eclipse,Android,Visual Studio,Core Java,JSP,Recurrent Neural Networks RNN,R programming,Long Shortterm Memory LSTM,Azure Databricks,phpMyAdmin,Time series forecasting,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
1,sanjeepan,Java,JavaScript,Python Programming Language,MySQL,Nodejs,Git,Linux,ObjectOriented Programming OOP,Reactjs,MongoDB,Flutter,Deep Learning,Firebase,Expressjs,Natural Language Processing NLP,Google Cloud Platform GCP,TensorFlow,Amazon Web Services AWS,Gitlab,Cloud Firestore,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
2,chandralegend,Java,JavaScript,Python Programming Language,HTML,Cascading Style Sheets CSS,AngularJS,Nodejs,Machine Learning,Data Analysis,Software Development,English,Photography,Graphic Design,Programming,Teamwork,Leadership,Project Management,Computer Science,Reactjs,MongoDB,Flutter,Deep Learning,Data Structures,Team Leadership,Data Science,Computer Vision,Artificial Intelligence AI,Analytical Skills,Research,Management,TensorFlow,Agile Methodologies,Android Development,Android,Neural Networks,User Interface Design,Logo Design,Agile Project Management,Product Development,Internet of Things IoT,Dart,Go Programming Language,User Experience UX,User Experience Design UED,Mobile Application Development,Graphics,Experience Design,Cisco Certified,Scrabble,nan,nan,
3,supun-weerakoon,Python Programming Language,SQL,Git,Big Data Analytics,Machine Learning,Data Analysis,Programming,Teamwork,Data Mining,Artificial Neural Networks,Tableau,Artificial Intelligence AI,Research,Microsoft Power BI,TensorFlow,Big Data,Amazon Web Services AWS,Software Engineering,Convolutional Neural Networks CNN,Flask,Recurrent Neural Networks RNN,Reinforcement Learning,PostgreSQL,GitHub,Test Automation,Testing,Cloud Applications,Heroku,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
4,chamathabeysinghe,Java,C,JavaScript,PHP,MySQL,Cascading Style Sheets CSS,Laravel,Linux,HTML,Machine Learning,Software Development,Microsoft Office,CSS,Teamwork,C,Reactjs,Python,Algorithms,Team Leadership,Hadoop,Computer Vision,NetBeans,TensorFlow,Keras,Distributed Systems,Artificial Intelligence,C,OOP,jQuery,Visual Studio,ScikitLearn,Photoshop,Natural Language Processing,Pandas,CUDA,Reduxjs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
5,lshan-weerakoon-58005a141,Java,C,Python Programming Language,MySQL,Science,Flutter,R Programming Language,Android Studio,Database Management System DBMS,PhpMyAdmin,Remote sensing,Gis,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
6,chanaka-lakshan-balasuriya,Java,JavaScript,Python Programming Language,MySQL,Bootstrap,Nodejs,Git,HTML,C Programming Language,Adobe Photoshop,Adobe Premiere Pro,ObjectOriented Programming OOP,Flutter,Angular,Adobe Illustrator,Artificial Intelligence AI,TensorFlow,Android,NoSQL,JSON,Web Application Development,Android Studio,Adobe XD,Unreal Engine,SASS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7,piraveen-s,Java,JavaScript,Cascading Style Sheets CSS,Bootstrap,Nodejs,Web Development,Laravel,HTML,Adobe Photoshop,Adobe Premiere Pro,Adobe Illustrator,Creative Problem Solving,Adobe Lightroom,React Native,PhpMyAdmin,php,Competitive Programming,After Effects,Maths,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
8,anthonyjliu,Java,JavaScript,HTML,AngularJS,Nodejs,HTML,Machine Learning,Software Development,Graphic Design,CSS,Leadership,Public Speaking,C,Python,Software Documentation,Matlab,Research,Management,Caffe,Artificial Intelligence,Android Development,C,Ionic Framework,Photoshop,Web Design,Algorithm Design,Ruby on Rails,Youth Development,Entrepreneurship,Apache Cordova,User Experience,Illustrator,Community Outreach,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
9,vidura-wijekoon-37976617b,Python Programming Language,PHP,Cascading Style Sheets CSS,SQL,C Programming Language,Microsoft Office,Public Speaking,C,Flutter,Arduino,Natural Language Processing NLP,Matlab,Management,SolidWorks,Time Management,PLC Programming,Pandas Software,Frontend Development,AutoCAD,Chess,DASH,EasyEDA,Impromptu Speaking,Etap,OPP,sharemarket investing,sharemarket knowledge,Carla,Energy Audits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
