,id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,minurapunchihewa,Java,JavaScript,Python Programming Language,MySQL,HTML,Cascading Style Sheets CSS,Nodejs,SQL,Data Engineering,Machine Learning,Data Analysis,Microsoft Azure,Microsoft Office,Teamwork,Leadership,Public Speaking,C,ObjectOriented Programming OOP,MongoDB,Microsoft Excel,Deep Learning,Expressjs,Team Leadership,Natural Language Processing NLP,Data Visualization,Data Science,Data Analytics,Hadoop,Statistical Data Analysis,OpenCV,Computer Vision,Artificial Intelligence AI,Microsoft Power BI,Microsoft SQL Server,Business Intelligence BI,PySpark,TensorFlow,Time Management,Docker Products,Amazon Web Services AWS,Communication,C,Neural Networks,Convolutional Neural Networks CNN,SQL Server Integration Services SSIS,Microsoft Power Apps,Microsoft Power Automate,Apache Airflow,Embedded JavaScript EJS,Graph Databases,nan,
1,shelani-desilva,JavaScript,Python Programming Language,PHP,HTML,Cascading Style Sheets CSS,SQL,Machine Learning,Scala,Microsoft Azure,C Programming Language,Leadership,C,MongoDB,Data Visualization,Microsoft Power BI,Mathematics,Time Management,Cloud Computing,Data Modeling,Google Data Studio,Linear Algebra,Business Analytics,React,Google BigQuery,Algebra,Node,DAX,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
2,oshada-jayasinghe-575572114,Python Programming Language,SQL,Machine Learning,Microsoft Office,Teamwork,Leadership,C,Deep Learning,Algorithms,Data Science,Matlab,OpenCV,Computer Vision,Mathematics,TensorFlow,PyTorch,Physics,Embedded Systems,Verilog,Robotics,Electronics,Robot Operating System ROS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
3,sameeradatabee,SQL,Machine Learning,Data Mining,Data Visualization,Tableau,Statistical Data Analysis,Microsoft Power BI,Microsoft SQL Server,Apache Spark,Business Intelligence BI,Oracle SQL Developer,SQL Server Reporting Services SSRS,Microsoft Azure Machine Learning,Azure Data Factory,Oracle Database,SQL Server Integration Services SSIS,SQL Server Analysis Services SSAS,PLSQL,Neoj,DAX,MDX,Azure PaaS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
4,jithmi-ranatunga-6a58b0193,Python Programming Language,Git,Big Data Analytics,Machine Learning,Data Analysis,Microsoft Azure,Teamwork,Deep Learning,Data Mining,Data Visualization,Data Science,Predictive Modeling,Hadoop,R,Tableau,Decision Trees,Time Series Analysis,Statistical Modeling,Artificial Intelligence AI,Microsoft Power BI,Mathematics,IBM SPSS,Apache Spark,PySpark,Predictive Analytics,DevOps,Apache,Big Data,Extract,Transform,Load ETL,Data Modeling,Database Administration,Agile Methodologies,Amazon Web Services AWS,Apache Kafka,Hadoop Administration,Data Warehousing,C,Matplotlib,Pandas Software,RESTful architecture,Microsoft Azure Machine Learning,Flask,Oracle Database,Jira,NodeRED,Jenkins,Design Thinking,Data Intelligence,nan,
5,thusitha-wijesooriya-189153147,Data Engineering,Big Data Analytics,Leadership,Data Analytics,Research,Teaching,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
6,nimshi-ashera-fernando-259b06159,Java,JavaScript,Python Programming Language,MySQL,Cascading Style Sheets CSS,XML,Git,Linux,HTML,Scala,C Programming Language,Microsoft Office,Teamwork,C,Microsoft Excel,Microsoft PowerPoint,Github,Team Leadership,Statistics,Hadoop,R,Microsoft Power BI,Microsoft SQL Server,Apache Spark,Extract,Transform,Load ETL,Amazon Web Services AWS,Data Warehousing,Microsoft Azure Machine Learning,Android Studio,Oracle Database,Google Analytics,SQL Server Integration Services SSIS,SQL Server Analysis Services SSAS,AutoCAD,Oracle c,Apache NiFi,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7,sandamalee-pathirana-513093124,Java,JavaScript,PHP,MySQL,HTML,Cascading Style Sheets CSS,AngularJS,Bootstrap,SQL,HTML,Microsoft Word,Microsoft Office,Teamwork,Leadership,C,Reactjs,Flutter,Microsoft Excel,Customer Service,Team Leadership,Management,C,jQuery,NET Framework,ASPNET,Reduxjs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
8,thilina-lokuge,Python Programming Language,SQL,Machine Learning,Leadership,ObjectOriented Programming OOP,Computer Science,Data Mining,Statistics,Data Science,R,Tableau,Statistical Modeling,SPSS,Artificial Intelligence AI,Microsoft Power BI,Machine Learning Algorithms,PySpark,SAS Programming,Neural Networks,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
9,sakitha-senarathne,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
