,id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,asha-sulaiman,Java,C,JavaScript,Python Programming Language,PHP,MySQL,HTML,Cascading Style Sheets CSS,XML,AngularJS,Bootstrap,Nodejs,SQL,Web Development,Laravel,Video Editing,python,Git,Linux,Linux Kernel,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
1,hasanka-senadheera-7b9183162,Java,PHP,MySQL,HTML,Cascading Style Sheets CSS,SQL,Laravel,python,Git,HTML,Microsoft Word,WordPress,Shopify,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
2,sahan-poornaka,Java,Python Programming Language,Linux,Data Engineering,Big Data Analytics,Machine Learning,Data Analysis,Software Development,Scala,Microsoft Azure,Databases,Problem Solving,English,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
3,thilaksi-gunathilaka-22589b199,JavaScript,PHP,HTML,Video Editing,Photography,Creative Writing,C Programming Language,Science,Molecular Biology,Responsive Web Design,Graphic Design,Programming,Editing,HR Management,Microsoft Office,java,CSS,Adobe Photoshop,Adobe Premiere Pro,Teamwork,Leadership,Public Speaking,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
4,ashani-fonseka,Python Programming Language,Problem Solving,Article Writing,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
5,sithija-siriwardana,Java,JavaScript,Python Programming Language,PHP,MySQL,SQL,Web Development,Git,HTML,Microsoft Word,Software Development,Scala,C Programming Language,Teamwork,Leadership,C,ObjectOriented Programming OOP,Software Development Life Cycle SDLC,Project Management,Computer Science,Reactjs,MongoDB,Flutter,Microsoft Excel,Microsoft PowerPoint,Customer Service,Angular,Deep Learning,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
6,rnithees,Java,JavaScript,PHP,MySQL,Nodejs,SQL,Laravel,Git,Graphic Design,Programming,Adobe Photoshop,ObjectOriented Programming OOP,MongoDB,Adobe Illustrator,Vuejs,Firebase,Java,ASPNET,BackEnd Web Development,API Development,Expressjs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7,thilan-k-bandara,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
8,anjana-samindra-perera,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
9,kamalka-fernando-b9aaa114a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
